channel,coefficient,impactable%,impactable_sensors,spend,saturation,power,
hcp_speaker,0.505492066,0.466211582,66681.2589,587649,log,,14302789.01
hcp_congress,0.001776971,0.113095797,16175.85316,779000,log,,14302788.95
hcp_print,0.000971067,0.07073528,10022.46884,592192,log,,14168981.65
dtc_tv,0.03721059,3.686071622,527196.7202,6630991.36,log,,14302400.34
dtc_print,0.005766903,0.364459969,52126.52386,1116362,log,,14302400.34
dtc_display,0.008437368,0.503253043,71977.26495,759441.25,log,,14302400.34
dtc_olv,0.003169224,0.132108505,18894.68731,250246.31,log,,14302400.37
