ZIP_CODE,DMA_code,DMA
79922,765,EL PASO (LAS CRUCES)
79923,765,EL PASO (LAS CRUCES)
79924,765,EL PASO (LAS CRUCES)
79925,765,EL PASO (LAS CRUCES)
79926,765,EL PASO (LAS CRUCES)
79927,765,EL PASO (LAS CRUCES)
79928,765,EL PASO (LAS CRUCES)
79929,765,EL PASO (LAS CRUCES)
79930,765,EL PASO (LAS CRUCES)
79931,765,EL PASO (LAS CRUCES)
79932,765,EL PASO (LAS CRUCES)
79934,765,EL PASO (LAS CRUCES)
79935,765,EL PASO (LAS CRUCES)
79936,765,EL PASO (LAS CRUCES)
79937,765,EL PASO (LAS CRUCES)
79938,765,EL PASO (LAS CRUCES)
79940,765,EL PASO (LAS CRUCES)
79941,765,EL PASO (LAS CRUCES)
79942,765,EL PASO (LAS CRUCES)
79943,765,EL PASO (LAS CRUCES)
79944,765,EL PASO (LAS CRUCES)
79945,765,EL PASO (LAS CRUCES)
79946,765,EL PASO (LAS CRUCES)
79947,765,EL PASO (LAS CRUCES)
79948,765,EL PASO (LAS CRUCES)
79949,765,EL PASO (LAS CRUCES)
79950,765,EL PASO (LAS CRUCES)
79951,765,EL PASO (LAS CRUCES)
79952,765,EL PASO (LAS CRUCES)
79953,765,EL PASO (LAS CRUCES)
79954,765,EL PASO (LAS CRUCES)
79955,765,EL PASO (LAS CRUCES)
79958,765,EL PASO (LAS CRUCES)
79960,765,EL PASO (LAS CRUCES)
79961,765,EL PASO (LAS CRUCES)
79968,765,EL PASO (LAS CRUCES)
79976,765,EL PASO (LAS CRUCES)
79978,765,EL PASO (LAS CRUCES)
79980,765,EL PASO (LAS CRUCES)
79995,765,EL PASO (LAS CRUCES)
79996,765,EL PASO (LAS CRUCES)
79997,765,EL PASO (LAS CRUCES)
79998,765,EL PASO (LAS CRUCES)
79999,765,EL PASO (LAS CRUCES)
80001,751,DENVER
80002,751,DENVER
80003,751,DENVER
80004,751,DENVER
80005,751,DENVER
80006,751,DENVER
80007,751,DENVER
80010,751,DENVER
80011,751,DENVER
80012,751,DENVER
80013,751,DENVER
80014,751,DENVER
80015,751,DENVER
80016,751,DENVER
80017,751,DENVER
80018,751,DENVER
80019,751,DENVER
80020,751,DENVER
80021,751,DENVER
80022,751,DENVER
80023,751,DENVER
80024,751,DENVER
80025,751,DENVER
80026,751,DENVER
80027,751,DENVER
80028,751,DENVER
80030,751,DENVER
80031,751,DENVER
80033,751,DENVER
80034,751,DENVER
80035,751,DENVER
80036,751,DENVER
80037,751,DENVER
80038,751,DENVER
80040,751,DENVER
80041,751,DENVER
80042,751,DENVER
80044,751,DENVER
80045,751,DENVER
80046,751,DENVER
80047,751,DENVER
80101,751,DENVER
80102,751,DENVER
80103,751,DENVER
80104,751,DENVER
80105,751,DENVER
80106,752,COLORADO SPRINGS - PUEBLO
80107,751,DENVER
80108,751,DENVER
80109,751,DENVER
80110,751,DENVER
80111,751,DENVER
80112,751,DENVER
80113,751,DENVER
80116,751,DENVER
80117,751,DENVER
80118,751,DENVER
80120,751,DENVER
80121,751,DENVER
80122,751,DENVER
80123,751,DENVER
80124,751,DENVER
80125,751,DENVER
80126,751,DENVER
80127,751,DENVER
80128,751,DENVER
80129,751,DENVER
80130,751,DENVER
80131,751,DENVER
80132,752,COLORADO SPRINGS - PUEBLO
80133,752,COLORADO SPRINGS - PUEBLO
80134,751,DENVER
80135,751,DENVER
80136,751,DENVER
80137,751,DENVER
80138,751,DENVER
80150,751,DENVER
80151,751,DENVER
80155,751,DENVER
80160,751,DENVER
80161,751,DENVER
80162,751,DENVER
80163,751,DENVER
80165,751,DENVER
80166,751,DENVER
80201,751,DENVER
80202,751,DENVER
80203,751,DENVER
80204,751,DENVER
80205,751,DENVER
80206,751,DENVER
80207,751,DENVER
80208,751,DENVER
80209,751,DENVER
80210,751,DENVER
80211,751,DENVER
80212,751,DENVER
80214,751,DENVER
80215,751,DENVER
80216,751,DENVER
80217,751,DENVER
80218,751,DENVER
80219,751,DENVER
80220,751,DENVER
80221,751,DENVER
80222,751,DENVER
80223,751,DENVER
80224,751,DENVER
80225,751,DENVER
80226,751,DENVER
80227,751,DENVER
80228,751,DENVER
80229,751,DENVER
80230,751,DENVER
80231,751,DENVER
80232,751,DENVER
80233,751,DENVER
80234,751,DENVER
80235,751,DENVER
80236,751,DENVER
80237,751,DENVER
80238,751,DENVER
80239,751,DENVER
80241,751,DENVER
80243,751,DENVER
80244,751,DENVER
80246,751,DENVER
80247,751,DENVER
80248,751,DENVER
80249,751,DENVER
80250,751,DENVER
80251,751,DENVER
80252,751,DENVER
80256,751,DENVER
80257,751,DENVER
80259,751,DENVER
80260,751,DENVER
80261,751,DENVER
80262,751,DENVER
80263,751,DENVER
80264,751,DENVER
80265,751,DENVER
80266,751,DENVER
80271,751,DENVER
80273,751,DENVER
80274,751,DENVER
80279,751,DENVER
80280,751,DENVER
80281,751,DENVER
80290,751,DENVER
80291,751,DENVER
80293,751,DENVER
80294,751,DENVER
80295,751,DENVER
80299,751,DENVER
80301,751,DENVER
80302,751,DENVER
80303,751,DENVER
80304,751,DENVER
80305,751,DENVER
80306,751,DENVER
80307,751,DENVER
80308,751,DENVER
80309,751,DENVER
80310,751,DENVER
80314,751,DENVER
80321,751,DENVER
80322,751,DENVER
80323,751,DENVER
80328,751,DENVER
80329,751,DENVER
80401,751,DENVER
80402,751,DENVER
80403,751,DENVER
80419,751,DENVER
80420,751,DENVER
80421,751,DENVER
80422,751,DENVER
80423,751,DENVER
80424,751,DENVER
80425,751,DENVER
80426,751,DENVER
80427,751,DENVER
