ZIP_CODE,DMA_code,DMA
82223,759,CHEYENNE - SCOTTSBLUF
82224,767,CASPER - RIVERTON
82225,751,DENVER
82227,751,DENVER
82229,767,CASPER - RIVERTON
82240,759,CHEYENNE - SCOTTSBLUF
82242,751,DENVER
82243,759,CHEYENNE - SCOTTSBLUF
82244,759,CHEYENNE - SCOTTSBLUF
82301,751,DENVER
82310,767,CASPER - RIVERTON
82321,751,DENVER
82322,770,SALT LAKE CITY
82323,751,DENVER
82324,751,DENVER
82325,751,DENVER
82327,751,DENVER
82329,751,DENVER
82331,751,DENVER
82332,751,DENVER
82334,751,DENVER
82335,751,DENVER
82336,770,SALT LAKE CITY
82401,767,CASPER - RIVERTON
82410,756,BILLINGS
82411,756,BILLINGS
82412,756,BILLINGS
82414,756,BILLINGS
82420,756,BILLINGS
82421,756,BILLINGS
82422,756,BILLINGS
82423,756,BILLINGS
82426,756,BILLINGS
82428,756,BILLINGS
82430,767,CASPER - RIVERTON
82431,756,BILLINGS
82432,756,BILLINGS
82433,756,BILLINGS
82434,756,BILLINGS
82435,756,BILLINGS
82440,756,BILLINGS
82441,756,BILLINGS
82442,767,CASPER - RIVERTON
82443,767,CASPER - RIVERTON
82450,756,BILLINGS
82501,767,CASPER - RIVERTON
82510,767,CASPER - RIVERTON
82512,767,CASPER - RIVERTON
82513,767,CASPER - RIVERTON
82514,767,CASPER - RIVERTON
82515,767,CASPER - RIVERTON
82516,767,CASPER - RIVERTON
82520,767,CASPER - RIVERTON
82523,767,CASPER - RIVERTON
82524,767,CASPER - RIVERTON
82601,767,CASPER - RIVERTON
82602,767,CASPER - RIVERTON
82604,767,CASPER - RIVERTON
82605,767,CASPER - RIVERTON
82609,767,CASPER - RIVERTON
82615,751,DENVER
82620,767,CASPER - RIVERTON
82630,767,CASPER - RIVERTON
82633,767,CASPER - RIVERTON
82635,767,CASPER - RIVERTON
82636,767,CASPER - RIVERTON
82637,767,CASPER - RIVERTON
82638,767,CASPER - RIVERTON
82639,751,DENVER
82640,751,DENVER
82642,767,CASPER - RIVERTON
82643,767,CASPER - RIVERTON
82644,767,CASPER - RIVERTON
82646,767,CASPER - RIVERTON
82648,767,CASPER - RIVERTON
82649,767,CASPER - RIVERTON
82701,764,RAPID CITY
82710,764,RAPID CITY
82711,764,RAPID CITY
82712,764,RAPID CITY
82714,764,RAPID CITY
82715,764,RAPID CITY
82716,751,DENVER
82717,751,DENVER
82718,751,DENVER
82720,764,RAPID CITY
82721,764,RAPID CITY
82723,764,RAPID CITY
82725,751,DENVER
82727,751,DENVER
82729,764,RAPID CITY
82730,764,RAPID CITY
82731,751,DENVER
82732,751,DENVER
82801,764,RAPID CITY
82831,764,RAPID CITY
82832,764,RAPID CITY
82833,764,RAPID CITY
82834,751,DENVER
82835,764,RAPID CITY
82836,764,RAPID CITY
82837,764,RAPID CITY
82838,764,RAPID CITY
82839,764,RAPID CITY
82840,751,DENVER
82842,764,RAPID CITY
82844,764,RAPID CITY
82845,764,RAPID CITY
82901,770,SALT LAKE CITY
82902,770,SALT LAKE CITY
82922,770,SALT LAKE CITY
82923,770,SALT LAKE CITY
82925,770,SALT LAKE CITY
82929,770,SALT LAKE CITY
82930,770,SALT LAKE CITY
82931,770,SALT LAKE CITY
82932,770,SALT LAKE CITY
82933,770,SALT LAKE CITY
82934,770,SALT LAKE CITY
82935,770,SALT LAKE CITY
82936,770,SALT LAKE CITY
82937,770,SALT LAKE CITY
82938,770,SALT LAKE CITY
82939,770,SALT LAKE CITY
82941,770,SALT LAKE CITY
82942,770,SALT LAKE CITY
82943,770,SALT LAKE CITY
82944,770,SALT LAKE CITY
82945,770,SALT LAKE CITY
83001,758,IDAHO FALLS - POCATELLO
83002,758,IDAHO FALLS - POCATELLO
83011,758,IDAHO FALLS - POCATELLO
83012,758,IDAHO FALLS - POCATELLO
83013,758,IDAHO FALLS - POCATELLO
83014,758,IDAHO FALLS - POCATELLO
83025,758,IDAHO FALLS - POCATELLO
83101,770,SALT LAKE CITY
83110,770,SALT LAKE CITY
83111,770,SALT LAKE CITY
83112,770,SALT LAKE CITY
83113,770,SALT LAKE CITY
83114,770,SALT LAKE CITY
83115,770,SALT LAKE CITY
83116,770,SALT LAKE CITY
83118,770,SALT LAKE CITY
83119,770,SALT LAKE CITY
83120,770,SALT LAKE CITY
83121,770,SALT LAKE CITY
83122,770,SALT LAKE CITY
83123,770,SALT LAKE CITY
